il,n,n_c21,c21_median,c21_mean,c21_std,c21_min,c21_max,n_d21,d21_median,d21_mean,d21_std,enlem_ort,boylam_ort
Kırklareli,3,3,1737.7,1584.5,482.9,1043.5,1972.2,3,1429.3,1449.8,80.6,41.4571,27.2683
Mardin,7,4,1507.4,1274.1,584.8,409.1,1672.5,7,1422.6,1266.0,457.0,37.2037,40.6462
Hatay,10,7,1483.0,1296.4,489.1,537.7,1927.6,8,932.3,1001.3,463.5,36.4526,36.2632
Edirne,2,2,1439.0,1439.0,199.3,1298.1,1579.9,2,768.1,768.1,633.2,40.9779,26.6336
İzmir,22,22,1389.9,1242.0,559.1,130.8,1897.1,21,1092.2,980.6,414.8,38.4704,27.4006
Tekirdağ,5,5,1346.6,1398.5,209.0,1133.5,1681.6,3,1363.5,1465.7,284.4,40.809,27.2875
Denizli,5,4,1164.9,1191.4,557.0,592.0,1843.9,5,1370.4,1092.8,568.6,37.8258,29.0502
Diyarbakır,8,8,1154.5,1089.6,491.5,545.0,1885.4,8,1104.8,1053.2,316.3,38.0061,40.6006
Aydın,18,17,1143.6,1143.4,534.4,234.4,1861.6,17,803.4,747.5,400.5,37.7898,28.2669
Muğla,12,12,963.2,978.4,541.1,216.1,1884.6,12,861.6,793.2,417.8,37.1094,28.3364
Adana,29,12,962.4,992.3,422.7,478.3,1895.4,29,882.8,908.7,332.5,36.9434,35.4775
Samsun,2,2,872.3,872.3,423.8,572.6,1172.0,2,1071.9,1071.9,551.7,41.3897,36.267
Osmaniye,2,1,852.5,852.5,,852.5,852.5,2,839.8,839.8,245.4,37.2897,36.028
Çanakkale,15,15,848.6,831.5,298.5,337.0,1449.1,15,634.2,671.6,354.5,40.2016,26.8781
Bursa,29,26,826.5,906.6,380.9,325.8,1830.6,29,597.0,693.6,333.3,40.1731,28.8858
Balıkesir,15,14,824.3,878.0,257.7,365.5,1343.3,15,467.7,492.5,117.5,39.6527,27.9835
Mersin,13,8,724.8,828.8,518.6,120.5,1907.4,13,815.6,777.3,307.4,36.8388,34.8234
Kayseri,19,19,724.5,755.0,310.6,328.3,1325.6,19,738.1,741.7,339.0,38.6621,35.8478
Çorum,2,2,687.7,687.7,184.6,557.1,818.2,2,822.7,822.7,544.4,40.2232,34.4432
Gaziantep,23,22,638.0,729.1,460.5,94.8,1422.2,23,587.3,657.6,428.0,37.0609,37.0688
Kilis,3,3,617.3,534.4,179.0,329.0,656.9,3,632.1,559.8,182.1,36.8795,37.2443
Nevşehir,19,18,606.2,696.8,429.7,168.0,1963.3,19,649.5,806.5,479.8,38.7966,34.7522
Niğde,26,26,600.2,684.2,382.6,93.1,1521.7,25,705.8,698.3,362.8,37.9821,34.5555
Adıyaman,8,8,583.3,677.1,288.2,391.3,1277.0,8,468.6,525.9,146.7,37.646,38.2554
Şanlıurfa,45,44,536.1,611.9,280.3,157.9,1603.9,44,628.2,641.8,281.8,37.0237,39.0916
Erzurum,5,5,526.2,510.7,253.4,112.6,801.7,5,597.2,538.1,246.0,40.0261,41.7147
Manisa,25,25,503.6,772.6,599.3,1.8,1816.0,25,400.4,645.1,531.1,38.7107,27.9231
Ankara,34,34,467.3,492.6,186.3,261.2,969.7,34,396.8,408.7,148.4,39.6315,32.9609
Kırşehir,27,27,467.0,478.5,162.7,165.5,780.6,27,498.9,469.1,185.6,39.298,34.1344
Kırıkkale,10,10,462.0,533.3,331.1,165.5,1214.3,10,319.9,376.2,246.5,39.6205,33.5804
Eskişehir,40,40,460.0,544.4,322.5,160.3,1370.5,39,511.6,529.3,265.4,39.5476,31.0233
Kütahya,14,14,451.2,482.7,197.6,164.7,829.3,14,356.7,337.1,142.8,39.2625,29.9468
Aksaray,14,14,430.4,494.9,209.7,220.9,913.9,14,461.2,469.9,192.5,38.389,34.0278
Yozgat,2,2,411.8,411.8,2.8,409.8,413.8,2,403.0,403.0,233.6,39.726,34.9759
Sinop,3,3,409.1,494.3,229.4,319.8,754.2,3,645.6,581.7,238.6,41.4188,35.1365
Uşak,4,4,393.6,412.3,165.7,244.6,617.3,4,287.6,282.5,53.9,38.5638,29.609
Çankırı,2,2,374.6,374.6,205.9,229.0,520.2,2,324.0,324.0,171.0,40.4584,33.5922
Batman,1,1,356.0,356.0,,356.0,356.0,1,439.8,439.8,,38.0718,41.3061
Muş,1,1,353.4,353.4,,353.4,353.4,1,110.3,110.3,,38.7957,41.6058
Konya,71,70,310.3,437.2,356.6,12.1,1794.5,71,318.1,399.8,282.8,38.1128,32.8812
Kars,5,5,294.1,308.2,159.8,127.2,482.9,5,424.9,389.6,141.4,40.5804,43.4886
Karaman,17,17,167.9,216.5,150.6,18.4,612.3,17,139.7,177.6,106.2,37.1634,33.3102
