sutun,n_dolu,n_null,mean,std,min,Q1,median,Q3,max,skewness
null_sayisi,617,0,2.778,2.024,1.0,2.0,2.0,3.0,23.0,4.306
fenolojik_evre__G9,312,305,7.115,0.561,7.0,7.0,7.0,7.0,10.0,4.762
istasyon_no__C6,617,0,237.812,995.474,1.01,25.04,40.07,51.02,7202.0,5.182
enlem_dd_final,617,0,38.475,1.198,36.241,37.427,38.41,39.381,41.583,0.22
boylam_dd_final,617,0,33.142,3.881,26.401,29.596,33.408,35.34,43.628,0.198
dane_m2_hesap_gram__C21,578,39,691.791,447.608,1.838,353.804,580.287,922.037,1972.186,0.936
dane_m2_gercek_gram__D21,608,9,623.037,386.788,1.985,323.611,542.907,840.973,1787.045,0.819
m2_sap_agirlik_kg__C17,617,0,0.726,0.674,0.027,0.318,0.549,0.921,8.127,4.114
olcum_alani_basak__C11,579,38,59.72,27.158,12.0,39.0,54.0,75.0,148.0,0.97
olcum_alani_carpani__E13,617,0,8.901,3.96,4.0,8.0,8.0,8.0,16.0,0.836
basaksiz_bitki_sayisi__C13,617,0,1.585,3.559,0.0,0.0,0.0,0.0,30.0,3.055
olcum_basak_agirlik_ham__C41,572,45,95255.175,57966.115,5846.0,52924.5,83186.5,121878.25,268050.0,1.038
m2_basak_sayisi__C12,587,30,507.973,222.866,48.0,342.0,488.0,640.0,1232.0,0.671
m2_basaksiz_bitki__C14,617,0,9.938,24.096,0.0,0.0,0.0,0.0,256.0,3.937
m2_toplam_bitki__C15,589,28,520.53,230.036,96.0,356.0,496.0,656.0,1456.0,0.783
ort_basak_uzunluk_cm__B40,617,0,7.167,1.752,2.95,5.92,7.02,8.35,12.68,0.441
ort_basak_agirlik_mg__C40,617,0,1881.084,789.717,231.5,1274.5,1763.6,2422.6,4276.286,0.508
ort_dane_sayisi__D40,617,0,33.648,12.837,4.12,23.5,33.2,42.5,69.4,0.251
ort_dane_agirlik_mg__E40,617,0,1386.314,614.392,7.181,926.5,1309.6,1821.4,3250.0,0.489
bir_basaktaki_ort_dane_agirlik_gram__C20,617,0,1.386,0.614,0.007,0.926,1.31,1.821,3.25,0.489
bin_dane_agirlik_gram__C22,616,1,41.209,8.962,17.478,34.753,40.9,47.295,68.248,0.114
basak_dane_oran__D41,603,14,0.735,0.064,0.544,0.695,0.736,0.77,0.925,0.148
ort_sap_basak_boyu__H39,617,0,7.28,2.037,3.1,5.75,6.9,8.8,13.9,0.511
ort_sap_basak_alti_boyu__I39,617,0,67.322,15.386,24.5,56.2,68.3,77.2,119.8,0.107
ort_sap_boy_cm__J39,617,0,74.589,16.437,31.1,62.9,75.3,85.6,130.38,0.132
b1_uzunluk_cm__B29,608,9,8.491,2.117,3.0,7.0,8.5,10.0,14.5,0.201
b2_uzunluk_cm__B30,615,2,8.139,2.075,3.0,6.5,8.0,9.5,14.0,0.271
b3_uzunluk_cm__B31,611,6,7.844,1.963,3.0,6.5,7.6,9.0,14.5,0.355
b4_uzunluk_cm__B32,616,1,7.576,1.937,3.0,6.1,7.5,9.0,14.5,0.377
b5_uzunluk_cm__B33,616,1,7.338,1.909,2.8,6.0,7.0,8.5,13.5,0.411
b6_uzunluk_cm__B34,616,1,7.092,1.897,2.0,6.0,7.0,8.2,12.5,0.449
b7_uzunluk_cm__B35,616,1,6.795,1.867,2.5,5.5,6.5,8.0,14.6,0.509
b8_uzunluk_cm__B36,616,1,6.512,1.844,2.0,5.0,6.5,7.525,13.0,0.504
b9_uzunluk_cm__B37,616,1,6.162,1.837,2.0,5.0,6.0,7.5,12.0,0.5
b10_uzunluk_cm__B38,617,0,5.688,1.837,1.8,4.5,5.5,7.0,12.0,0.651
b1_agirlik_mg__C29,592,25,2454.762,1037.556,323.0,1687.25,2360.5,3185.25,5126.0,0.354
b2_agirlik_mg__C30,605,12,2298.035,1015.196,204.0,1569.0,2110.0,2978.0,5097.0,0.503
b3_agirlik_mg__C31,613,4,2204.675,972.285,109.0,1485.0,2052.0,2838.0,5132.0,0.528
